Player,Pos,Total Points,STD,ID
KhaDarel Hodge,WR,28.2,2.77,367
Dyami Brown,WR,27.8,5.26,368
Ashton Dulin,WR,27.5,2.62,369
Travis Homer,RB,27.1,2.84,370
Velus Jones Jr.,WR,27.0,3.65,371
Josh Oliver,TE,26.9,3.44,372
Adam Trautman,TE,26.7,2.22,373
O.J. Howard,TE,26.5,3.71,374
Javonte Williams,RB,26.0,3.02,375
Byron Pringle,WR,25.5,2.8,376
Jonnu Smith,TE,25.0,1.81,377
Durham Smythe,TE,25.0,2.2,378
Khalil Shakir,WR,24.1,3.19,379
Gary Brightwell,RB,24.0,2.35,380
Jalen Nailor,WR,23.9,3.7,381
Connor Heyward,TE,23.8,2.26,382
Brandon Powell,WR,23.6,2.16,383
Teagan Quitoriano,TE,23.3,2.74,384
Alec Ingold,RB,23.3,2.78,385
Amari Rodgers,WR,23.1,3.0,386
Austin Seibert,K,23.0,3.12,387
Joshua Dobbs,QB,22.8,3.7,388
Malik Willis,QB,22.3,3.36,389
River Cracraft,WR,22.2,2.43,390
Brett Rypien,QB,22.0,2.89,391
Craig Reynolds,RB,21.8,2.39,392
Marquez Callaway,WR,21.8,1.98,393
Kyren Williams,RB,21.5,1.87,394
Skyy Moore,WR,21.4,1.97,395
David Bell,WR,21.4,1.18,396
Sterling Shepard,WR,21.4,3.27,397
C.J. Ham,RB,21.3,2.2,398
Zach Pascal,WR,21.0,2.7,399
Davis Webb,QB,20.8,4.9,400
Jody Fortson,TE,20.8,2.4,401
Eric Saubert,TE,20.8,2.11,402
Marcedes Lewis,TE,20.6,2.53,403
David Blough,QB,20.6,3.52,404
Skylar Thompson,QB,20.5,2.56,405
Pierre Strong Jr.,RB,20.2,3.58,406
Keelan Cole Sr.,WR,20.1,2.62,407
Matt Ammendola,K,20.0,2.45,408
Johnny Mundt,TE,20.0,1.54,409
Kyle Allen,QB,19.9,3.28,410
Mitchell Wilcox,TE,19.9,2.27,411
Eric Tomlinson,TE,19.9,2.47,412
Mike Boone,RB,19.8,2.16,413
Ian Thomas,TE,19.7,1.32,414
Avery Williams,RB,19.5,2.07,415
Scotty Miller,WR,19.3,1.66,416
Sam Howell,QB,19.3,4.55,417
Jonathan Williams,RB,19.2,1.75,418
Tevin Coleman,RB,19.0,4.4,419
Donald Parham Jr.,TE,19.0,2.03,420
Rodrigo Blankenship,K,19.0,3.08,421
Jalen Reagor,WR,18.9,1.84,422
KJ Hamler,WR,18.8,2.05,423
Brandon Bolden,RB,18.8,2.24,424
Denzel Mims,WR,18.6,1.99,425
Malcolm Brown,RB,17.8,2.04,426
John Wolford,QB,17.8,2.89,427
Lawrence Cager,WR,17.8,2.24,428
N'Keal Harry,WR,17.6,2.21,429
Bryce Perkins,QB,17.4,2.81,430
Cameron Brate,TE,17.4,1.42,431
Steven Sims Jr.,WR,17.4,1.27,432
James Mitchell,TE,17.3,1.72,433
Darrel Williams,RB,17.1,2.86,434
Corey Clement,RB,16.9,2.61,435
John Bates,TE,16.8,2.12,436
Benny Snell Jr.,RB,16.7,3.08,437
Ross Dwelley,TE,16.5,2.58,438
Jeff Driskel,QB,16.2,2.14,439
Sony Michel,RB,15.9,1.3,440
Albert Okwuegbunam,TE,15.5,2.54,441
DeSean Jackson,WR,15.3,1.86,442
Ronald Jones II,RB,15.2,2.54,443
Derek Watt,RB,15.2,2.02,444
Taylor Bertolet,K,15.0,2.87,445
Hassan Haskins,RB,15.0,1.49,446
Anthony Schwartz,WR,14.8,2.65,447
Cedrick Wilson Jr.,WR,14.4,1.11,448
Breshad Perriman,WR,14.3,2.51,449
Samori Toure,WR,14.2,2.37,450
Jameson Williams,WR,14.1,2.51,451
Kenny Golladay,WR,14.1,2.21,452
Keaontay Ingram,RB,14.1,2.27,453
Tom Kennedy,WR,14.1,1.6,454
Ko Kieft,TE,14.0,1.57,455
Zander Horvath,RB,13.6,2.08,456
Reggie Gilliam,RB,13.6,1.86,457
Trace McSorley,QB,13.6,1.43,458
Dan Arnold,TE,13.5,0.94,459
Trey Lance,QB,13.5,2.62,460
